Sample_ID,Participant_ID,Scenario_ID,Scenario_Name,Clean_Text,Intent_ID,Intent_Name,Script_Type,Dataset_Split
S0042,P002,20,Wi-Fi Password Request ,ඒ මට wifi password එක දෙනවද ඩේ⁣ට නැ,10,CAMPUS_RESOURCE_REQUEST,Mixed Sinhala+Latin,Validation
S0043,P002,21,Food - Canteen Menu,දවල්ට කන්න කැන්ටින් එකෙ මොනාද දන්නැ තියෙන්නෙ,11,FOOD_AND_CANTEEN,Sinhala Script,Validation
S0044,P002,22,Food - Let's Eat,කාල එමු,11,FOOD_AND_CANTEEN,Sinhala Script,Validation
S0045,P003,1,Academic Stress,"Ado macho Assignment aka thaama iwarana nahana, Dannm Olwa pupuranna onna manna.",0,ACADEMIC_STRESS,Latin/Romanized,Train
S0046,P003,2,Campus Injustice,"Ado ara math lecturaya pachana kaliina,",1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0047,P003,3,Campus Culture/Ragging,"Macho mage kanthiya full tank akata langwala thiyanna, aniwa ara senior kollanta kalinawa adanam.",1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0048,P003,4,Financial Stress,"Ado empty pocket macho,",2,FINANCIAL_STRESS,Latin/Romanized,Train
S0049,P003,5,Logistics/Food Issues,"Kogomada bang maawa kanna, mage dogy wath maawa kanna naha",3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0050,P003,6,Group Project Stress,"maa araunta project aka ona nattham math nikam innawa maga part aka karala, mama lekata kiyanwa maga part aka har i arunnata ona kamak naha kiayala",0,ACADEMIC_STRESS,Latin/Romanized,Train
S0051,P003,7,Isolation,"ath wala inna bang, akawath naha onawalawata, unnta onawalawa polima anna",4,SOCIAL_ISOLATION,Latin/Romanized,Train
S0052,P003,8,Academic Success - Difficult Subject,"Ado Chemistry mama udinnma pass wala, anima defa paper aka balapu aka bilada kohada idala thiyanna",5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0053,P003,9,Academic Success - Repeat Subject,"ado paper aka goda, repeat karalama practice wala thama goda giya",5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0054,P003,10,Freedom-Final Paper,ado pawanwa waga bang dannam,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0055,P003,11,Lightness-Final Paper,"macho wada goda, project aka submit kara walawata, feeling awesome dan",6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0056,P003,12,Social Evant - Batch Trip,"machchara innawada bang ape pathiya, ela naada set akama set unaama",7,SOCIAL_EVENT,Latin/Romanized,Train
S0057,P003,13,Social Evant - Campus Evant,"ado boring bang, moko kiyanna himihita panimuda",7,SOCIAL_EVENT,Latin/Romanized,Train
S0058,P003,14,Personal Win - Stipand/Mahapola,macho salli watila moko kiyanna ubala,8,PERSONAL_WIN,Latin/Romanized,Train
S0059,P003,15,Personal Win - Internship,"joba haribang, aninnada intership akata anna kiwwa,kolla aninnda idala full kiata marala ofiice yanna harida",8,PERSONAL_WIN,Latin/Romanized,Train
S0060,P003,16,Lectures - Attendance,"ado hata annama onada, aniwa anna ona kiyala nahana",9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0061,P003,17,Lectures - Cancellation,macho ada lectures nahan naada,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0062,P003,18,Commuting,"macho mama thaama bus aka, maharagama inna, 10min othana mama",3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0063,P003,19,Notes - PDF Request,ado matha lecture aka pdf aka awapanko hoda kolla waga.,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0064,P003,20,Wi-Fi Password Request ,macho wi-fi password aka mokadda,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0065,P003,21,Food - Canteen Menu,"macho kantima ada dawalata monada, supurudu lada hoddaie bathuieda.",11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0066,P003,22,Food - Let's Eat,"wanrang bang kaala anna, maara badagini dannam",11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0067,P004,1,Academic Stress,Ado stress bn...eli wenna kalin khmhri krgnn wnv meka,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0068,P004,2,Campus Injustice,Ado ai bn eya ehema krnne lamainta? apita bariweida mekata mkuth krnna,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0069,P004,3,Campus Culture/Ragging,Mt campus enna hithen na bn,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0070,P004,4,Financial Stress,Athata keeyak hri ena job ekak hygththnm hri bn...Nththtm meka krnn ba mehema,2,FINANCIAL_STRESS,Latin/Romanized,Train
S0071,P004,5,Logistics/Food Issues,Ekama kaama bn hamadama. Gdr wage nane epa wnv,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0072,P004,6,Group Project Stress,Mun ekka khmd bn wdk krnne,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0073,P004,7,Isolation,Mn tkk thnym eliywth ghn enw. Meka assema idla mt nththm pissu hdei,4,SOCIAL_ISOLATION,Latin/Romanized,Train
S0074,P004,8,Academic Success - Difficult Subject,Ado mn pass oi ara subject eka.,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0075,P004,9,Academic Success - Repeat Subject,Ado ara subject eka pass wela bn,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0076,P004,10,Freedom-Final Paper,Ammo athi yantham eh mgula iwarai,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0077,P004,11,Lightness-Final Paper,Ekath iwarai. Eka stress ekak iwr una,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0078,P004,12,Social Evant - Batch Trip,Athal bn,7,SOCIAL_EVENT,Latin/Romanized,Train
S0079,P004,13,Social Evant - Campus Evant,Athal bn,7,SOCIAL_EVENT,Latin/Romanized,Train
S0080,P004,14,Personal Win - Stipand/Mahapola,"Salli watila bn, ubata watilada",8,PERSONAL_WIN,Latin/Romanized,Train
S0081,P004,15,Personal Win - Internship,Eh bn mge intern eka set una,8,PERSONAL_WIN,Latin/Romanized,Train
S0082,P004,16,Lectures - Attendance,Me ht lec ekt ynnm onida? attendance balaida bn,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0083,P004,17,Lectures - Cancellation,Ht lec canceld bn?,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0084,P004,18,Commuting,Me mn dn sliit eka lga bn inne. Ikmnt enn plwn wei,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0085,P004,19,Notes - PDF Request,Eh mn gya sathye awe na... eda krpu note ekak thynwnm dpnko,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0086,P004,20,Wi-Fi Password Request ,Me student password eka mkdd bn?,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0087,P004,21,Food - Canteen Menu,me canteen eke mnwd bn ad kanna thynne,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0088,P004,22,Food - Let's Eat,Me waren kla enna yn,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0089,P005,1,Academic Stress,Dennam me magula athi wela bn,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0090,P005,2,Campus Injustice,Use drugs,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0091,P005,3,Campus Culture/Ragging,Cry,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0092,P005,4,Financial Stress,Machan same to homeless,2,FINANCIAL_STRESS,Latin/Romanized,Train
S0093,P005,5,Logistics/Food Issues,Melo rahak na bn,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0111,P006,1,Academic Stress,මේක මොකක් හරි කර ගන්න ඔන බං...කර ගන්න බැරි උනොත් මොකක්කරන්නද... කල්දා ගන්න බැරිද දන්නෙ නෑ...,0,ACADEMIC_STRESS,Sinhala Script,Train
S0112,P006,2,Campus Injustice,අපිට තමා හැමදේම වැරදියට කරන්නේ... මං කොච්චර හොදට කරලද... ඒත් මට තමයි අසාදාරන වැඩ කරන්නේ..,1,CAMPUS_SAFETY_INJUSTICE,Sinhala Script,Train
S0113,P006,3,Campus Culture/Ragging,හිතාගෙන ඉන්නේ සීනියර්ස්ල නිසා හැමදේකටම කට පියන් ඉන්න ඔන කියලා.. ගහන්න පුලුවන් උස්සලා පොලොවේ,1,CAMPUS_SAFETY_INJUSTICE,Sinhala Script,Train
S0114,P006,4,Financial Stress,මේ තියන ටිකෙන් මොකක් හරි මැච් එකක් ගහන්න ඔන...නැත්නම් ගෙදරටත් බරක් ඒක...,2,FINANCIAL_STRESS,Sinhala Script,Train
S0115,P006,5,Logistics/Food Issues,තවත්නම් ඔතනින් කන්නෙ නෑ,3,DAILY_CAMPUS_LOGISTICS,Sinhala Script,Train
S0116,P006,6,Group Project Stress,එක්කෙනෙග්ගෙවත් ඇටෙන්ඩන්ස් දාන්නෙ නෑ.. (ඒ කිව්වට කරන්නෙ නෑ )..ඔක්කොම කරන්න ඕන මං.එක්කෙනෙක්වත් නිකමට අහන්න්‍රෙ නෑ වැඩේ මොකද උදව්වක් ඕනද කියලා,0,ACADEMIC_STRESS,Sinhala Script,Train
S0117,P006,7,Isolation,අනේ මට යාලුවෝ හිටියත් එකයි නැතත් එකයි.. මං ආවා මගේ වැඩේ කර ගන්න... අනිත් දේවල් මට වැඩක් නෑ,4,SOCIAL_ISOLATION,Sinhala Script,Train
S0118,P006,8,Academic Success - Difficult Subject,අම්මෝ මං බය වෙලා හිටියේ.. අම්මෝ ලොකු දෙයක් පාස් වෙලා... මට හරිම සතුටුයි..,5,ACADEMIC_SUCCESS,Sinhala Script,Train
S0119,P006,9,Academic Success - Repeat Subject,බලපූ ලෙක්චර්ට් පිං... මං බය වෙලා හිටියේ.. කොහොම හරි පාස්.. මටහරිම සතුටුයි,5,ACADEMIC_SUCCESS,Sinhala Script,Train
S0120,P006,10,Freedom-Final Paper,අම්මෝ ඒකත් ඉවරයි.... ලිව්වා කොහොම වෙයිද දන්නෙ නැ...ඔලුවට මාරම නිදහස්,6,FINAL_PAPER_RELIEF,Sinhala Script,Train
S0121,P006,11,Lightness-Final Paper,ලොකු බරක් ඔලුවෙන් නිදසස් උනා... අම්මෝ ඔලුවට මාරම නුදහසක් දැනෙ න්නෙ,6,FINAL_PAPER_RELIEF,Sinhala Script,Train
S0122,P006,12,Social Evant - Batch Trip,ආයේ යන්න ඕන ට්‍රිප් එකක් . අනේ වෙලාව යන්න එපා.. අද වෙලාව ඉක්මනට යනවාන්ව්ව්,7,SOCIAL_EVENT,Sinhala Script,Train
S0123,P006,13,Social Evant - Campus Evant,සතුටුයි,7,SOCIAL_EVENT,Sinhala Script,Train
S0124,P006,14,Personal Win - Stipand/Mahapola,අද කොහෙන්ද කන්නේ... මං ලක්ශ්පතියෙන් වගේ කියලා දැනෙනවා,8,PERSONAL_WIN,Sinhala Script,Train
S0125,P006,15,Personal Win - Internship,කොහොම හරි ගේමක් ගහගෙන මේක දිගටම කරගෙන යනවා... මොනාහරි දෙයක් කරලා,8,PERSONAL_WIN,Sinhala Script,Train
S0126,P006,16,Lectures - Attendance,මොන විකාරයක්ද අප්පා... ජොබ් එකත් එක්ක කරන්න බෑනේ ඒක.. ඇයු තේරෙන්නෙ තැත්තේ.. හිතන්නා රොබෝලා කියලද දන්නෙ නෑ,9,LECTURE_MANAGEMENT,Sinhala Script,Train
S0127,P006,17,Lectures - Cancellation,අඩේ අද ලෙක්චරස් නැද්ද බං.. අද පොඩ්ඩක් නිදිය ගන්න පුලුවන්,9,LECTURE_MANAGEMENT,Sinhala Script,Train
S0128,P006,18,Commuting,මේ බස් නෑ බංමේ පැත්තේ... එන්න චුට්ටක් පටක්කු වෙයි සුද්දා,3,DAILY_CAMPUS_LOGISTICS,Sinhala Script,Train
S0129,P006,19,Notes - PDF Request,මේ ගිය සතියේ ලෙච්චර්ස් නොට් ටික එවන්න,10,CAMPUS_RESOURCE_REQUEST,Sinhala Script,Train
S0130,P006,20,Wi-Fi Password Request ,මේ මට පාස්වෙඩ් එක ඒන්න,10,CAMPUS_RESOURCE_REQUEST,Sinhala Script,Train
S0131,P006,21,Food - Canteen Menu,මේ බඩගිනී.. මොනාද කන්නේ...මොන්න් හරි කන්නා යමි,11,FOOD_AND_CANTEEN,Sinhala Script,Train
S0132,P006,22,Food - Let's Eat,අඩෝ කන්න යමන්.බඩගිනී,11,FOOD_AND_CANTEEN,Sinhala Script,Train
S0133,P007,1,Academic Stress,Ane Manda meka karaganna puluwan weida,0,ACADEMIC_STRESS,Latin/Romanized,Validation
S0134,P007,2,Campus Injustice,Matanam maara kenthi,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Validation
S0135,P007,3,Campus Culture/Ragging,Pissu modayo tikak,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Validation
S0136,P007,4,Financial Stress,Ane Manda athe Sathe na,2,FINANCIAL_STRESS,Latin/Romanized,Validation
S0137,P007,5,Logistics/Food Issues,Iiya Mona jara kamakda manda,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Validation
S0138,P007,6,Group Project Stress,Matanam Dan epa wela thiyenne,0,ACADEMIC_STRESS,Latin/Romanized,Validation
S0139,P007,7,Isolation,Mehemanam harima calm,4,SOCIAL_ISOLATION,Latin/Romanized,Validation
S0140,P007,8,Academic Success - Difficult Subject,Wow matanam hithagannawath ba,5,ACADEMIC_SUCCESS,Latin/Romanized,Validation
S0141,P007,9,Academic Success - Repeat Subject,Ane athinyantham,5,ACADEMIC_SUCCESS,Latin/Romanized,Validation
S0142,P007,10,Freedom-Final Paper,Ammoh maara nidahasne,6,FINAL_PAPER_RELIEF,Latin/Romanized,Validation
S0143,P007,11,Lightness-Final Paper,Ammoh athi yantham,6,FINAL_PAPER_RELIEF,Latin/Romanized,Validation
S0144,P007,12,Social Evant - Batch Trip,Pattaneh,7,SOCIAL_EVENT,Latin/Romanized,Validation
S0145,P007,13,Social Evant - Campus Evant,Ade Maru ban,7,SOCIAL_EVENT,Latin/Romanized,Validation
S0146,P007,14,Personal Win - Stipand/Mahapola,Ammoh finally I got the money,8,PERSONAL_WIN,Latin/Romanized,Validation
S0147,P007,15,Personal Win - Internship,Awww....man harima lucky,8,PERSONAL_WIN,Latin/Romanized,Validation
S0148,P007,16,Lectures - Attendance,Beta lectures aniwa enna oneda,9,LECTURE_MANAGEMENT,Latin/Romanized,Validation
S0149,P007,17,Lectures - Cancellation,Ada lectures thiyanawada cancelda?,9,LECTURE_MANAGEMENT,Latin/Romanized,Validation
S0150,P007,18,Commuting,Thawa tika welawak YAI...man thama methana,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Validation
S0151,P007,19,Notes - PDF Request,Ado mata ara note eka denwada,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Validation
S0152,P007,20,Wi-Fi Password Request ,Ado ube wifi password eka dipanko,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Validation
S0153,P007,21,Food - Canteen Menu,Monawada lunch ekata denne,11,FOOD_AND_CANTEEN,Latin/Romanized,Validation
S0154,P007,22,Food - Let's Eat,Warenko kanna,11,FOOD_AND_CANTEEN,Latin/Romanized,Validation
S0155,P008,1,Academic Stress,Mona hutte jiwithada bn meee,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0156,P008,2,Campus Injustice,Desk denwaa out wela campus eken criyta aai oya wage dewal nokaranna,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0157,P008,3,Campus Culture/Ragging,Eeeeka iwasagena idala ape junior batch eke unta paaduwe inna denwa,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0158,P008,4,Financial Stress,Akkta call ekak dala kiyk hari illa gnnwa,2,FINANCIAL_STRESS,Latin/Romanized,Train
S0159,P008,5,Logistics/Food Issues,Iwsagena kanwa ithinnnn,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0160,P008,6,Group Project Stress,Hknne nathiwa wrenn kiyla ktha knrwa okkoma criyont mnnm,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0161,P008,7,Isolation,Tika welawai mtnm eeek,4,SOCIAL_ISOLATION,Latin/Romanized,Train
S0162,P008,8,Academic Success - Difficult Subject,Vishehsyk nh,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0163,P008,9,Academic Success - Repeat Subject,Shep ithinn ekth,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0164,P008,10,Freedom-Final Paper,Bomuu,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0165,P008,11,Lightness-Final Paper,Bomuu,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0166,P008,12,Social Evant - Batch Trip,Bomu,7,SOCIAL_EVENT,Latin/Romanized,Train
S0167,P008,13,Social Evant - Campus Evant,Bomu,7,SOCIAL_EVENT,Latin/Romanized,Train
S0168,P008,14,Personal Win - Stipand/Mahapola,Grdin sallin illanna oni nh tika desk ynkm ykoi,8,PERSONAL_WIN,Latin/Romanized,Train
S0170,P008,16,Lectures - Attendance,Het api mk,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0171,P008,17,Lectures - Cancellation,Mkd case ek,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0172,P008,18,Commuting,Huttoo khd inne kiyla ahnne ugen isseelllam,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0173,P008,19,Notes - PDF Request,Note ekei pdf ekai dekm depn kiyla,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0174,P008,20,Wi-Fi Password Request ,Dipn koyla illnwa,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0175,P008,21,Food - Canteen Menu,Kenlinma ahnwa ituin,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0176,P008,22,Food - Let's Eat,Kanne ndd utto,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0177,P009,1,Academic Stress,Yaluwanata kiyala wadak na ne hitha hadagena continue karanawa,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0178,P009,2,Campus Injustice,Not going their lessons,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0179,P009,3,Campus Culture/Ragging,Gahala,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Train
S0180,P009,4,Financial Stress,Job ekak karann Tri karanawa,2,FINANCIAL_STRESS,Latin/Romanized,Train
S0181,P009,5,Logistics/Food Issues,AI canteen eken gan na,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0182,P009,6,Group Project Stress,Mama karanneth na,0,ACADEMIC_STRESS,Latin/Romanized,Train
S0183,P009,7,Isolation,It is life,4,SOCIAL_ISOLATION,Latin/Romanized,Train
S0184,P009,8,Academic Success - Difficult Subject,I get it,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0185,P009,9,Academic Success - Repeat Subject,Awlk na goda gihin,5,ACADEMIC_SUCCESS,Latin/Romanized,Train
S0186,P009,10,Freedom-Final Paper,Mama yanawa gedara,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0187,P009,11,Lightness-Final Paper,Done it,6,FINAL_PAPER_RELIEF,Latin/Romanized,Train
S0188,P009,12,Social Evant - Batch Trip,Superb,7,SOCIAL_EVENT,Latin/Romanized,Train
S0189,P009,13,Social Evant - Campus Evant,Superb,7,SOCIAL_EVENT,Latin/Romanized,Train
S0190,P009,14,Personal Win - Stipand/Mahapola,Watila,8,PERSONAL_WIN,Latin/Romanized,Train
S0191,P009,15,Personal Win - Internship,Mata ekak set una bn,8,PERSONAL_WIN,Latin/Romanized,Train
S0192,P009,16,Lectures - Attendance,Yan na,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0193,P009,17,Lectures - Cancellation,Ada thiyeda,9,LECTURE_MANAGEMENT,Latin/Romanized,Train
S0194,P009,18,Commuting,1hours I come,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Train
S0195,P009,19,Notes - PDF Request,Thiyeda,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0196,P009,20,Wi-Fi Password Request ,Password oni,10,CAMPUS_RESOURCE_REQUEST,Latin/Romanized,Train
S0197,P009,21,Food - Canteen Menu,Kama thiyenawai,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0198,P009,22,Food - Let's Eat,Kala emu,11,FOOD_AND_CANTEEN,Latin/Romanized,Train
S0199,P010,1,Academic Stress,ammat siriwela tiyenne,0,ACADEMIC_STRESS,Latin/Romanized,Test
S0200,P010,2,Campus Injustice,"Ninan innawa,Wenda widiytm",1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Test
S0201,P010,3,Campus Culture/Ragging,Face krl blanna oni,1,CAMPUS_SAFETY_INJUSTICE,Latin/Romanized,Test
S0202,P010,4,Financial Stress,Hindila inne,2,FINANCIAL_STRESS,Latin/Romanized,Test
S0203,P010,5,Logistics/Food Issues,Kama Hari na kynw,3,DAILY_CAMPUS_LOGISTICS,Latin/Romanized,Test
S0204,P010,6,Group Project Stress,mokuth na,0,ACADEMIC_STRESS,Latin/Romanized,Test
S0205,P010,7,Isolation,Msg krnna,4,SOCIAL_ISOLATION,Latin/Romanized,Test
S0206,P010,8,Academic Success - Difficult Subject,Mata sathutu deyk krnawa,5,ACADEMIC_SUCCESS,Latin/Romanized,Test
S0207,P010,9,Academic Success - Repeat Subject,Kemathi deyak kranawa/karanwa,5,ACADEMIC_SUCCESS,Latin/Romanized,Test
S0208,P010,10,Freedom-Final Paper,Hondata nida gamnawa,6,FINAL_PAPER_RELIEF,Latin/Romanized,Test
S0209,P010,11,Lightness-Final Paper,Hinawela,6,FINAL_PAPER_RELIEF,Latin/Romanized,Test
S0210,P010,12,Social Evant - Batch Trip,E athal 1 liyanna ba,7,SOCIAL_EVENT,Latin/Romanized,Test
