Sample_ID,Participant_ID,Source_Row,Scenario_ID,Scenario_Name,Raw_Text,Label_Code,Clean_Text,Script_Type,Quality_Flag,Keep_Status,Duplicate_Check,Dataset_Split
S0116,P006,7,6,Group Project Stress,එක්කෙනෙග්ගෙවත් ඇටෙන්ඩන්ස් දාන්නෙ නෑ.. (ඒ කිව්වට කරන්නෙ නෑ )..ඔක්කොම කරන්න ඕන මං.එක්කෙනෙක්වත් නිකමට අහන්න්‍රෙ නෑ වැඩේ මොකද උදව්වක් ඕනද කියලා,4,එක්කෙනෙග්ගෙවත් ඇටෙන්ඩන්ස් දාන්නෙ නෑ.. (ඒ කිව්වට කරන්නෙ නෑ )..ඔක්කොම කරන්න ඕන මං.එක්කෙනෙක්වත් නිකමට අහන්න්‍රෙ නෑ වැඩේ මොකද උදව්වක් ඕනද කියලා,Sinhala Script,OK,KEEP,OK,Train
S0117,P006,7,7,Isolation,අනේ මට යාලුවෝ හිටියත් එකයි නැතත් එකයි.. මං ආවා මගේ වැඩේ කර ගන්න... අනිත් දේවල් මට වැඩක් නෑ,5,අනේ මට යාලුවෝ හිටියත් එකයි නැතත් එකයි.. මං ආවා මගේ වැඩේ කර ගන්න... අනිත් දේවල් මට වැඩක් නෑ,Sinhala Script,OK,KEEP,OK,Train
S0118,P006,7,8,Academic Success - Difficult Subject,අම්මෝ මං බය වෙලා හිටියේ.. අම්මෝ ලොකු දෙයක් පාස් වෙලා... මට හරිම සතුටුයි..,4,අම්මෝ මං බය වෙලා හිටියේ.. අම්මෝ ලොකු දෙයක් පාස් වෙලා... මට හරිම සතුටුයි..,Sinhala Script,OK,KEEP,OK,Train
S0119,P006,7,9,Academic Success - Repeat Subject,බලපූ ලෙක්චර්ට් පිං... මං බය වෙලා හිටියේ.. කොහොම හරි පාස්.. මටහරිම සතුටුයි,4,බලපූ ලෙක්චර්ට් පිං... මං බය වෙලා හිටියේ.. කොහොම හරි පාස්.. මටහරිම සතුටුයි,Sinhala Script,OK,KEEP,OK,Train
S0120,P006,7,10,Freedom-Final Paper,අම්මෝ ඒකත් ඉවරයි.... ලිව්වා කොහොම වෙයිද දන්නෙ නැ...ඔලුවට මාරම නිදහස්,3,අම්මෝ ඒකත් ඉවරයි.... ලිව්වා කොහොම වෙයිද දන්නෙ නැ...ඔලුවට මාරම නිදහස්,Sinhala Script,OK,KEEP,OK,Train
S0121,P006,7,11,Lightness-Final Paper,ලොකු බරක් ඔලුවෙන් නිදසස් උනා... අම්මෝ ඔලුවට මාරම නුදහසක් දැනෙ න්නෙ,3,ලොකු බරක් ඔලුවෙන් නිදසස් උනා... අම්මෝ ඔලුවට මාරම නුදහසක් දැනෙ න්නෙ,Sinhala Script,OK,KEEP,OK,Train
S0122,P006,7,12,Social Evant - Batch Trip,ආයේ යන්න ඕන ට්‍රිප් එකක් . අනේ වෙලාව යන්න එපා.. අද වෙලාව ඉක්මනට යනවාන්ව්ව්,3,ආයේ යන්න ඕන ට්‍රිප් එකක් . අනේ වෙලාව යන්න එපා.. අද වෙලාව ඉක්මනට යනවාන්ව්ව්,Sinhala Script,OK,KEEP,OK,Train
S0123,P006,7,13,Social Evant - Campus Evant,සතුටුයි,3,සතුටුයි,Sinhala Script,OK,KEEP,OK,Train
S0124,P006,7,14,Personal Win - Stipand/Mahapola,අද කොහෙන්ද කන්නේ... මං ලක්ශ්පතියෙන් වගේ කියලා දැනෙනවා,3,අද කොහෙන්ද කන්නේ... මං ලක්ශ්පතියෙන් වගේ කියලා දැනෙනවා,Sinhala Script,OK,KEEP,OK,Train
S0125,P006,7,15,Personal Win - Internship,කොහොම හරි ගේමක් ගහගෙන මේක දිගටම කරගෙන යනවා... මොනාහරි දෙයක් කරලා,5,කොහොම හරි ගේමක් ගහගෙන මේක දිගටම කරගෙන යනවා... මොනාහරි දෙයක් කරලා,Sinhala Script,OK,KEEP,OK,Train
S0126,P006,7,16,Lectures - Attendance,මොන විකාරයක්ද අප්පා... ජොබ් එකත් එක්ක කරන්න බෑනේ ඒක.. ඇයු තේරෙන්නෙ තැත්තේ.. හිතන්නා රොබෝලා කියලද දන්නෙ නෑ,2,මොන විකාරයක්ද අප්පා... ජොබ් එකත් එක්ක කරන්න බෑනේ ඒක.. ඇයු තේරෙන්නෙ තැත්තේ.. හිතන්නා රොබෝලා කියලද දන්නෙ නෑ,Sinhala Script,OK,KEEP,OK,Train
S0127,P006,7,17,Lectures - Cancellation,අඩේ අද ලෙක්චරස් නැද්ද බං.. අද පොඩ්ඩක් නිදිය ගන්න පුලුවන්,3,අඩේ අද ලෙක්චරස් නැද්ද බං.. අද පොඩ්ඩක් නිදිය ගන්න පුලුවන්,Sinhala Script,OK,KEEP,OK,Train
S0128,P006,7,18,Commuting,මේ බස් නෑ බංමේ පැත්තේ... එන්න චුට්ටක් පටක්කු වෙයි සුද්දා,4,මේ බස් නෑ බංමේ පැත්තේ... එන්න චුට්ටක් පටක්කු වෙයි සුද්දා,Sinhala Script,OK,KEEP,OK,Train
S0129,P006,7,19,Notes - PDF Request,මේ ගිය සතියේ ලෙච්චර්ස් නොට් ටික එවන්න,4,මේ ගිය සතියේ ලෙච්චර්ස් නොට් ටික එවන්න,Sinhala Script,OK,KEEP,OK,Train
S0130,P006,7,20,Wi-Fi Password Request ,මේ මට පාස්වෙඩ් එක ඒන්න,4,මේ මට පාස්වෙඩ් එක ඒන්න,Sinhala Script,OK,KEEP,OK,Train
S0131,P006,7,21,Food - Canteen Menu,මේ බඩගිනී.. මොනාද කන්නේ...මොන්න් හරි කන්නා යමි,4,මේ බඩගිනී.. මොනාද කන්නේ...මොන්න් හරි කන්නා යමි,Sinhala Script,OK,KEEP,OK,Train
S0132,P006,7,22,Food - Let's Eat,අඩෝ කන්න යමන්.බඩගිනී,4,අඩෝ කන්න යමන්.බඩගිනී,Sinhala Script,OK,KEEP,OK,Train
S0133,P007,8,1,Academic Stress,Ane Manda meka karaganna puluwan weida,1,Ane Manda meka karaganna puluwan weida,Latin/Romanized,OK,KEEP,OK,Train
S0134,P007,8,2,Campus Injustice,"Matanam maara kenthi
",2,Matanam maara kenthi,Latin/Romanized,OK,KEEP,OK,Train
S0135,P007,8,3,Campus Culture/Ragging,Pissu modayo tikak,2,Pissu modayo tikak,Latin/Romanized,OK,KEEP,OK,Train
S0136,P007,8,4,Financial Stress,Ane Manda athe Sathe na,1,Ane Manda athe Sathe na,Latin/Romanized,OK,KEEP,OK,Train
S0137,P007,8,5,Logistics/Food Issues,Iiya Mona jara kamakda manda,1,Iiya Mona jara kamakda manda,Latin/Romanized,OK,KEEP,OK,Train
S0138,P007,8,6,Group Project Stress,"Matanam Dan epa wela thiyenne
",1,Matanam Dan epa wela thiyenne,Latin/Romanized,OK,KEEP,OK,Train
S0139,P007,8,7,Isolation,Mehemanam harima calm ,5,Mehemanam harima calm,Latin/Romanized,OK,KEEP,OK,Train
S0140,P007,8,8,Academic Success - Difficult Subject,"Wow matanam hithagannawath ba
",5,Wow matanam hithagannawath ba,Latin/Romanized,OK,KEEP,OK,Train
S0141,P007,8,9,Academic Success - Repeat Subject,"Ane athinyantham
",5,Ane athinyantham,Latin/Romanized,OK,KEEP,OK,Train
S0142,P007,8,10,Freedom-Final Paper,"Ammoh maara nidahasne
",5,Ammoh maara nidahasne,Latin/Romanized,OK,KEEP,OK,Train
S0143,P007,8,11,Lightness-Final Paper,"Ammoh athi yantham

",5,Ammoh athi yantham,Latin/Romanized,OK,KEEP,OK,Train
S0144,P007,8,12,Social Evant - Batch Trip,Pattaneh,5,Pattaneh,Latin/Romanized,OK,KEEP,OK,Train
S0145,P007,8,13,Social Evant - Campus Evant,Ade Maru ban,5,Ade Maru ban,Latin/Romanized,OK,KEEP,OK,Train
S0146,P007,8,14,Personal Win - Stipand/Mahapola,Ammoh finally I got the money,5,Ammoh finally I got the money,Latin/Romanized,OK,KEEP,OK,Train
S0147,P007,8,15,Personal Win - Internship,Awww....man harima lucky,5,Awww....man harima lucky,Latin/Romanized,OK,KEEP,OK,Train
S0148,P007,8,16,Lectures - Attendance,Beta lectures aniwa enna oneda,2,Beta lectures aniwa enna oneda,Latin/Romanized,OK,KEEP,OK,Train
S0149,P007,8,17,Lectures - Cancellation,Ada lectures thiyanawada cancelda?,3,Ada lectures thiyanawada cancelda?,Latin/Romanized,OK,KEEP,OK,Train
S0150,P007,8,18,Commuting,Thawa tika welawak YAI...man thama methana,2,Thawa tika welawak YAI...man thama methana,Latin/Romanized,OK,KEEP,OK,Train
S0151,P007,8,19,Notes - PDF Request,"Ado mata ara note eka denwada
",4,Ado mata ara note eka denwada,Latin/Romanized,OK,KEEP,OK,Train
S0152,P007,8,20,Wi-Fi Password Request ,Ado ube wifi password eka dipanko,3,Ado ube wifi password eka dipanko,Latin/Romanized,OK,KEEP,OK,Train
S0153,P007,8,21,Food - Canteen Menu,Monawada lunch ekata denne,3,Monawada lunch ekata denne,Latin/Romanized,OK,KEEP,OK,Train
S0154,P007,8,22,Food - Let's Eat,"Warenko kanna
",3,Warenko kanna,Latin/Romanized,OK,KEEP,OK,Train
S0155,P008,9,1,Academic Stress,Mona hutte jiwithada bn meee,1,Mona hutte jiwithada bn meee,Latin/Romanized,OK,KEEP,OK,Train
S0156,P008,9,2,Campus Injustice,Desk denwaa out wela campus eken criyta aai oya wage dewal nokaranna,5,Desk denwaa out wela campus eken criyta aai oya wage dewal nokaranna,Latin/Romanized,OK,KEEP,OK,Train
S0157,P008,9,3,Campus Culture/Ragging,Eeeeka iwasagena idala ape junior batch eke unta paaduwe inna denwa,5,Eeeeka iwasagena idala ape junior batch eke unta paaduwe inna denwa,Latin/Romanized,OK,KEEP,OK,Train
S0158,P008,9,4,Financial Stress,Akkta call ekak dala kiyk hari illa gnnwa,5,Akkta call ekak dala kiyk hari illa gnnwa,Latin/Romanized,OK,KEEP,OK,Train
S0159,P008,9,5,Logistics/Food Issues,"Iwsagena kanwa ithinnnn
",5,Iwsagena kanwa ithinnnn,Latin/Romanized,OK,KEEP,OK,Train
S0160,P008,9,6,Group Project Stress,Hknne nathiwa wrenn kiyla ktha knrwa okkoma criyont mnnm,5,Hknne nathiwa wrenn kiyla ktha knrwa okkoma criyont mnnm,Latin/Romanized,OK,KEEP,OK,Train
S0161,P008,9,7,Isolation,Tika welawai mtnm eeek,5,Tika welawai mtnm eeek,Latin/Romanized,OK,KEEP,OK,Train
S0162,P008,9,8,Academic Success - Difficult Subject,Vishehsyk nh,5,Vishehsyk nh,Latin/Romanized,OK,KEEP,OK,Train
S0163,P008,9,9,Academic Success - Repeat Subject,Shep ithinn ekth,5,Shep ithinn ekth,Latin/Romanized,OK,KEEP,OK,Train
S0164,P008,9,10,Freedom-Final Paper,Bomuu,5,Bomuu,Latin/Romanized,OK,KEEP,CHECK DUPLICATE,Train
S0165,P008,9,11,Lightness-Final Paper,Bomuu,5,Bomuu,Latin/Romanized,OK,KEEP,CHECK DUPLICATE,Train
S0166,P008,9,12,Social Evant - Batch Trip,Bomu,5,Bomu,Latin/Romanized,OK,KEEP,CHECK DUPLICATE,Train
S0167,P008,9,13,Social Evant - Campus Evant,Bomu,5,Bomu,Latin/Romanized,OK,KEEP,CHECK DUPLICATE,Train
S0168,P008,9,14,Personal Win - Stipand/Mahapola,Grdin sallin illanna oni nh tika desk ynkm ykoi,5,Grdin sallin illanna oni nh tika desk ynkm ykoi,Latin/Romanized,OK,KEEP,OK,Train
S0170,P008,9,16,Lectures - Attendance,Het api mk,5,Het api mk,Latin/Romanized,OK,KEEP,OK,Train
S0171,P008,9,17,Lectures - Cancellation,Mkd case ek,5,Mkd case ek,Latin/Romanized,OK,KEEP,OK,Train
S0172,P008,9,18,Commuting,Huttoo khd inne kiyla ahnne ugen isseelllam,5,Huttoo khd inne kiyla ahnne ugen isseelllam,Latin/Romanized,OK,KEEP,OK,Train
S0173,P008,9,19,Notes - PDF Request,Note ekei pdf ekai dekm depn kiyla,5,Note ekei pdf ekai dekm depn kiyla,Latin/Romanized,OK,KEEP,OK,Train
S0174,P008,9,20,Wi-Fi Password Request ,Dipn koyla illnwa,5,Dipn koyla illnwa,Latin/Romanized,OK,KEEP,OK,Train
S0175,P008,9,21,Food - Canteen Menu,Kenlinma ahnwa ituin,5,Kenlinma ahnwa ituin,Latin/Romanized,OK,KEEP,OK,Train
S0176,P008,9,22,Food - Let's Eat,Kanne ndd utto,5,Kanne ndd utto,Latin/Romanized,OK,KEEP,OK,Train
S0199,P010,11,1,Academic Stress,ammat siriwela tiyenne,1,ammat siriwela tiyenne,Latin/Romanized,OK,KEEP,OK,Train
S0200,P010,11,2,Campus Injustice,"Ninan innawa,Wenda widiytm",3,"Ninan innawa,Wenda widiytm",Latin/Romanized,OK,KEEP,OK,Train
S0201,P010,11,3,Campus Culture/Ragging,Face krl blanna oni,3,Face krl blanna oni,Latin/Romanized,OK,KEEP,OK,Train
S0202,P010,11,4,Financial Stress,Hindila inne,1,Hindila inne,Latin/Romanized,OK,KEEP,OK,Train
S0203,P010,11,5,Logistics/Food Issues,Kama Hari na kynw,1,Kama Hari na kynw,Latin/Romanized,OK,KEEP,OK,Train
